version,status,timestamp,latitude,longitude,altitude,heading,latitude_sigma,longitude_sigma,altitude_sigma,heading_sigma,quality,number_of_satellites,HDOP
0,0,1693450,37.5293723723,126.517454941,0,129.013015747,0,0,0,0,0,0,0
0,0,1703393,37.5293723717,126.51745494,0,129.007705688,0,0,0,0,0,0,0
0,0,1713365,37.5293723712,126.517454939,0,129.013046265,0,0,0,0,0,0,0
0,0,1723382,37.5293723707,126.517454939,0,129.011947632,0,0,0,0,0,0,0
0,0,1733389,37.5293723702,126.517454938,0,129.009643555,0,0,0,0,0,0,0
0,0,1743368,37.5293723696,126.517454937,0,129.010040283,0,0,0,0,0,0,0
0,0,1753739,37.529372369,126.517454936,0,129.01133728,0,0,0,0,0,0,0
0,0,1763381,37.5293723685,126.517454935,0,129.008621216,0,0,0,0,0,0,0
0,0,1773633,37.5293723679,126.517454934,0,129.011062622,0,0,0,0,0,0,0
0,0,1784249,37.5293723674,126.517454933,0,129.008666992,0,0,0,0,0,0,0
0,0,1793662,37.5293723669,126.517454933,0,129.011260986,0,0,0,0,0,0,0
0,0,1803422,37.5293723664,126.517454932,0,129.012496948,0,0,0,0,0,0,0
0,0,1813446,37.5293723659,126.517454931,0,129.012145996,0,0,0,0,0,0,0
0,0,1823352,37.5293723653,126.51745493,0,129.010559082,0,0,0,0,0,0,0
0,0,1833415,37.5293723648,126.517454929,0,129.0103302,0,0,0,0,0,0,0
0,0,1843434,37.5293723642,126.517454929,0,129.011184692,0,0,0,0,0,0,0
0,0,1853512,37.5293723637,126.517454928,0,129.010192871,0,0,0,0,0,0,0
0,0,1863430,37.5293723632,126.517454927,0,129.009124756,0,0,0,0,0,0,0
0,0,1873442,37.5293723627,126.517454926,0,129.013504028,0,0,0,0,0,0,0
0,0,1883795,37.5293723621,126.517454925,0,129.015029907,0,0,0,0,0,0,0
0,0,1893379,37.5293723616,126.517454925,0,129.010910034,0,0,0,0,0,0,0
0,0,1903690,37.5293723611,126.517454924,0,129.010864258,0,0,0,0,0,0,0
0,0,1913332,37.5293723606,126.517454923,0,129.012390137,0,0,0,0,0,0,0
0,0,1923590,37.5293723601,126.517454922,0,129.010467529,0,0,0,0,0,0,0
0,0,1933404,37.5293723596,126.517454921,0,129.011062622,0,0,0,0,0,0,0
0,0,1943503,37.529372359,126.51745492,0,129.009872437,0,0,0,0,0,0,0
0,0,1953356,37.5293723584,126.51745492,0,129.010345459,0,0,0,0,0,0,0
0,0,1963407,37.5293723579,126.517454919,0,129.012512207,0,0,0,0,0,0,0
0,0,1973331,37.5293723574,126.517454918,0,129.011734009,0,0,0,0,0,0,0
0,0,1983471,37.5293723569,126.517454917,0,129.011657715,0,0,0,0,0,0,0
0,0,1993451,37.5293723564,126.517454916,0,129.008575439,0,0,0,0,0,0,0
0,0,2003385,37.5293723559,126.517454916,0,129.010742188,0,0,0,0,0,0,0
0,0,2013377,37.5293723553,126.517454915,0,129.012634277,0,0,0,0,0,0,0
0,0,2023405,37.5293723548,126.517454914,0,129.010513306,0,0,0,0,0,0,0
0,0,2033743,37.5293723542,126.517454913,0,129.011978149,0,0,0,0,0,0,0
0,0,2043367,37.5293723537,126.517454912,0,129.010177612,0,0,0,0,0,0,0
0,0,2053651,37.5293723532,126.517454911,0,129.012069702,0,0,0,0,0,0,0
0,0,2063344,37.5293723527,126.517454911,0,129.01234436,0,0,0,0,0,0,0
0,0,2073557,37.5293723522,126.51745491,0,129.011199951,0,0,0,0,0,0,0
0,0,2083416,37.5293723516,126.517454909,0,129.01109314,0,0,0,0,0,0,0
0,0,2093469,37.5293723511,126.517454908,0,129.011398315,0,0,0,0,0,0,0
0,0,2103561,37.5293723506,126.517454907,0,129.009780884,0,0,0,0,0,0,0
0,0,2113370,37.5293723501,126.517454907,0,129.009963989,0,0,0,0,0,0,0
0,0,2123399,37.5293723496,126.517454906,0,129.010299683,0,0,0,0,0,0,0
0,0,2133490,37.529372349,126.517454905,0,129.011276245,0,0,0,0,0,0,0
0,0,2143354,37.5293723485,126.517454904,0,129.012374878,0,0,0,0,0,0,0
0,0,2153335,37.5293723479,126.517454903,0,129.010894775,0,0,0,0,0,0,0
0,0,2163809,37.5293723474,126.517454903,0,129.012191772,0,0,0,0,0,0,0
0,0,2173342,37.5293723469,126.517454902,0,129.010848999,0,0,0,0,0,0,0
0,0,2183707,37.5293723464,126.517454901,0,129.014373779,0,0,0,0,0,0,0
0,0,2193854,37.5293723459,126.5174549,0,129.010635376,0,0,0,0,0,0,0
0,0,2203625,37.5293723453,126.517454899,0,129.012207031,0,0,0,0,0,0,0
0,0,2213391,37.5293723448,126.517454898,0,129.011428833,0,0,0,0,0,0,0
0,0,2223536,37.5293723442,126.517454898,0,129.011962891,0,0,0,0,0,0,0
0,0,2233393,37.5293723437,126.517454897,0,129.012771606,0,0,0,0,0,0,0
0,0,2243429,37.5293723432,126.517454896,0,129.011306763,0,0,0,0,0,0,0
0,0,2253403,37.5293723427,126.517454895,0,129.010635376,0,0,0,0,0,0,0
0,0,2263354,37.5293723421,126.517454894,0,129.010482788,0,0,0,0,0,0,0
0,0,2273428,37.5293723416,126.517454893,0,129.008651733,0,0,0,0,0,0,0
0,0,2283404,37.529372341,126.517454893,0,129.012329102,0,0,0,0,0,0,0
0,0,2293864,37.5293723405,126.517454892,0,129.010803223,0,0,0,0,0,0,0
0,0,2303402,37.52937234,126.517454891,0,129.013031006,0,0,0,0,0,0,0
0,0,2313763,37.5293723394,126.51745489,0,129.011642456,0,0,0,0,0,0,0
0,0,2323435,37.5293723389,126.517454889,0,129.008926392,0,0,0,0,0,0,0
0,0,2333671,37.5293723383,126.517454888,0,129.010757446,0,0,0,0,0,0,0
0,0,2343375,37.5293723378,126.517454888,0,129.010665894,0,0,0,0,0,0,0
0,0,2353573,37.5293723373,126.517454887,0,129.011245728,0,0,0,0,0,0,0
0,0,2363405,37.5293723369,126.517454886,0,129.011993408,0,0,0,0,0,0,0
0,0,2373485,37.5293723364,126.517454885,0,129.011428833,0,0,0,0,0,0,0
0,0,2383539,37.5293723358,126.517454885,0,129.011993408,0,0,0,0,0,0,0
0,0,2393798,37.5293723352,126.517454884,0,129.012207031,0,0,0,0,0,0,0
0,0,2403357,37.5293723347,126.517454883,0,129.012191772,0,0,0,0,0,0,0
0,0,2413409,37.5293723342,126.517454882,0,129.010787964,0,0,0,0,0,0,0
0,0,2423340,37.5293723337,126.517454881,0,129.011322021,0,0,0,0,0,0,0
0,0,2433516,37.5293723332,126.51745488,0,129.013122559,0,0,0,0,0,0,0
0,0,2443722,37.5293723327,126.51745488,0,129.0128479,0,0,0,0,0,0,0
0,0,2453340,37.5293723322,126.517454879,0,129.012680054,0,0,0,0,0,0,0
0,0,2463844,37.5293723316,126.517454878,0,129.01234436,0,0,0,0,0,0,0
0,0,2475126,37.529372331,126.517454877,0,129.014328003,0,0,0,0,0,0,0
0,0,2483631,37.5293723305,126.517454876,0,129.012191772,0,0,0,0,0,0,0
0,0,2493423,37.52937233,126.517454876,0,129.015167236,0,0,0,0,0,0,0
0,0,2503527,37.5293723295,126.517454875,0,129.013473511,0,0,0,0,0,0,0
0,0,2513365,37.529372329,126.517454874,0,129.01171875,0,0,0,0,0,0,0
0,0,2523452,37.5293723284,126.517454873,0,129.011123657,0,0,0,0,0,0,0
0,0,2533407,37.5293723279,126.517454872,0,129.013458252,0,0,0,0,0,0,0
0,0,2543461,37.5293723274,126.517454871,0,129.013595581,0,0,0,0,0,0,0
0,0,2553487,37.5293723268,126.517454871,0,129.011642456,0,0,0,0,0,0,0
0,0,2563372,37.5293723263,126.51745487,0,129.013519287,0,0,0,0,0,0,0
0,0,2573329,37.5293723256,126.517454869,0,129.010559082,0,0,0,0,0,0,0
0,0,2583467,37.5293723248,126.517454867,0,129.01322937,0,0,0,0,0,0,0
0,0,2593801,37.5293723239,126.517454866,0,129.01222229,0,0,0,0,0,0,0
0,0,2603473,37.5293723228,126.517454864,0,129.012466431,0,0,0,0,0,0,0
0,0,2613687,37.5293723215,126.517454862,0,129.011917114,0,0,0,0,0,0,0
0,0,2623414,37.5293723201,126.51745486,0,129.009216309,0,0,0,0,0,0,0
0,0,2633598,37.5293723184,126.517454858,0,129.012954712,0,0,0,0,0,0,0
0,0,2643360,37.5293723165,126.517454855,0,129.011550903,0,0,0,0,0,0,0
0,0,2653521,37.5293723144,126.517454851,0,129.011230469,0,0,0,0,0,0,0
0,0,2663361,37.5293723121,126.517454848,0,129.012908936,0,0,0,0,0,0,0
0,0,2673418,37.5293723096,126.517454844,0,129.013275146,0,0,0,0,0,0,0
0,0,2683421,37.5293723069,126.51745484,0,129.008010864,0,0,0,0,0,0,0
0,0,2693366,37.5293723039,126.517454835,0,129.009246826,0,0,0,0,0,0,0
0,0,2703360,37.5293723007,126.51745483,0,129.009460449,0,0,0,0,0,0,0
0,0,2713399,37.5293722973,126.517454825,0,129.008300781,0,0,0,0,0,0,0
0,0,2723384,37.5293722937,126.517454819,0,129.00843811,0,0,0,0,0,0,0
0,0,2733429,37.5293722899,126.517454813,0,129.010314941,0,0,0,0,0,0,0
0,0,2743759,37.5293722857,126.517454807,0,129.009170532,0,0,0,0,0,0,0
0,0,2753374,37.5293722815,126.5174548,0,129.010116577,0,0,0,0,0,0,0
0,0,2763671,37.5293722768,126.517454793,0,129.009811401,0,0,0,0,0,0,0
0,0,2773346,37.5293722721,126.517454786,0,129.008255005,0,0,0,0,0,0,0
0,0,2784091,37.5293722667,126.517454777,0,129.007583618,0,0,0,0,0,0,0
0,0,2793411,37.5293722617,126.51745477,0,129.009567261,0,0,0,0,0,0,0
0,0,2803559,37.529372256,126.517454761,0,129.010299683,0,0,0,0,0,0,0
0,0,2813433,37.5293722503,126.517454752,0,129.00920105,0,0,0,0,0,0,0
0,0,2823407,37.5293722442,126.517454743,0,129.006210327,0,0,0,0,0,0,0
0,0,2833429,37.5293722379,126.517454733,0,129.007156372,0,0,0,0,0,0,0
0,0,2843423,37.5293722313,126.517454722,0,129.008071899,0,0,0,0,0,0,0
0,0,2853433,37.5293722245,126.517454712,0,129.008071899,0,0,0,0,0,0,0
0,0,2863561,37.5293722174,126.517454701,0,129.003356934,0,0,0,0,0,0,0
0,0,2873817,37.5293722099,126.517454689,0,129.006744385,0,0,0,0,0,0,0
0,0,2883364,37.5293722027,126.517454678,0,129.003570557,0,0,0,0,0,0,0
0,0,2893728,37.5293721947,126.517454666,0,129.002853394,0,0,0,0,0,0,0
