version,status,timestamp,speed_x,speed_y,speed_z,acceleration_x,acceleration_y,acceleration_z,roll_rate,pitch_rate,yaw_rate,speed_x_sigma,speed_y_sigma,speed_z_sigma,acceleration_x_sigma,acceleration_y_sigma,acceleration_z_sigma,roll_rate_sigma,pitch_rate_sigma,yaw_rate_sigma
0,0,1413400,0.009035484865,0,0.001900000032,-0.0210078191,0.01730191894,9.739390373,0.003509948729,-0.001775500015,-0.001708613243,0,0,0,0,0,0,0,0,0
0,0,1423585,0.009126883931,0,0.002099999925,-0.001911670435,0.01358190831,9.814400673,0.0022100145,0.002199207665,0.00160213036,0,0,0,0,0,0,0,0,0
0,0,1433357,0.009243917651,0,0.002099999925,0.02747863531,-0.002834087471,9.80737114,-0.002449968597,-0.005140017718,0.0005336406175,0,0,0,0,0,0,0,0,0
0,0,1443435,0.009914131835,0,0.001799999969,0.08637378365,-0.01118530892,9.764983177,-0.003350013169,-0.0009043228347,-0.0001892423898,0,0,0,0,0,0,0,0,0
0,0,1453423,0.01032472774,0,0.002400000114,0.03563098982,0.01344890799,9.858730316,0.002669985872,0.00760819111,0.00202800543,0,0,0,0,0,0,0,0,0
0,0,1463380,0.009972462431,0,0.00270000007,-0.04408204556,0.01263359468,9.829586983,0.0003999482142,-0.001980969682,-0.00431656139,0,0,0,0,0,0,0,0,0
0,0,1473707,0.009741663933,0,0.002099999925,-0.03844869882,0.01432947256,9.739391327,0.0005899880198,0.001773108728,0.002398791257,0,0,0,0,0,0,0,0,0
0,0,1483457,0.009319334291,0,0.002400000114,-0.04328847304,-0.001008013613,9.8303442,-0.0007900200435,0.0004679982085,0.002226352692,0,0,0,0,0,0,0,0,0
0,0,1493660,0.009008883499,0,0.002600000007,-0.03492501006,-0.002640800085,9.821102142,-0.004479931667,-0.003841527272,0.002446586033,0,0,0,0,0,0,0,0,0
0,0,1503415,0.009313431568,0,0.002000000095,0.04075845703,0.009871263057,9.742856979,0.002649983158,0.00230266829,-0.002816737164,0,0,0,0,0,0,0,0,0
0,0,1513583,0.01004041824,0,0.002400000114,0.07290493697,0.01065139659,9.836639404,-0.002789959777,-0.002513540443,0.001299091848,0,0,0,0,0,0,0,0,0
0,0,1523413,0.0098325992,0,0.002899999963,-0.01566446759,0.002494132379,9.850453377,0.009020089172,0.006741404068,-0.00240247068,0,0,0,0,0,0,0,0,0
0,0,1533427,0.009433981031,0,0.002199999988,-0.02774590068,-0.02202773839,9.726695061,-0.0001999887754,-0.002106844215,-0.0007486734539,0,0,0,0,0,0,0,0,0
0,0,1543384,0.00921954494,0,0.002099999925,-0.02687835321,0.0009145572549,9.794079781,-0.001960021211,-0.0006266185665,0.002661064733,0,0,0,0,0,0,0,0,0
