version,status,timestamp,latitude,longitude,altitude,roll,pitch,heading,latitude_sigma,longitude_sigma,altitude_sigma,roll_sigma,pitch_sigma,heading_sigma,a_sigma,b_sigma,c_sigma,quality,number_of_satellites,hdop
0,0,88115129,37.5775467794,126.897454972,15.8667325974,1.66661965847,-0.146734490991,-133.14364624,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88123873,37.5775461961,126.897455723,15.8671636581,1.67246377468,-0.147020965815,-133.131729126,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88133966,37.5775456113,126.897456475,15.8672561646,1.68718886375,-0.151490047574,-133.120437622,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88145346,37.5775450374,126.897457219,15.8680896759,1.68695962429,-0.159282267094,-133.104919434,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88154923,37.5775444564,126.897457969,15.8685903549,1.69859063625,-0.17022575438,-133.095352173,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88163974,37.5775438736,126.89745872,15.8690061569,1.69498109818,-0.185466438532,-133.077819824,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88173917,37.5775433028,126.897459468,15.8705072403,1.69584047794,-0.195493206382,-133.066925049,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88183876,37.5775427236,126.897460216,15.8711004257,1.69996583462,-0.205004304647,-133.048248291,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88194927,37.5775421429,126.897460966,15.8716392517,1.70792984962,-0.215833202004,-133.036102295,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88203803,37.5775415737,126.897461713,15.8731250763,1.71331572533,-0.227521538734,-133.019195557,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88214733,37.5775409968,126.897462461,15.8737335205,1.71606588364,-0.243335172534,-133.006942749,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88223905,37.577540418,126.897463209,15.8743391037,1.72488939762,-0.257429927588,-132.991348267,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88233800,37.5775398508,126.897463955,15.8758049011,1.73061907291,-0.271352797747,-132.975708008,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88244928,37.5775392759,126.897464701,15.8764228821,1.73113465309,-0.28636431694,-132.959732056,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88253869,37.5775386993,126.897465449,15.8770227432,1.73692154884,-0.300802856684,-132.943511963,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88263858,37.5775381334,126.897466194,15.878411293,1.74047386646,-0.314324647188,-132.928894043,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88275172,37.5775375604,126.89746694,15.8789339066,1.75015687943,-0.329679906368,-132.912002563,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88283854,37.577536986,126.897467685,15.8795433044,1.74752128124,-0.34692594409,-132.898757935,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88296780,37.577536424,126.897468426,15.8798542023,1.74649000168,-0.362453103065,-132.8800354,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88304003,37.5775358532,126.897469169,15.8803806305,1.75794911385,-0.372365266085,-132.865875244,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88314188,37.5775352805,126.897469915,15.8808679581,1.75760531425,-0.38399630785,-132.850067139,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88326056,37.5775347199,126.897470654,15.8810949326,1.76327764988,-0.396429508924,-132.83430481,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88334107,37.5775341508,126.897471397,15.8814716339,1.76385056973,-0.407602161169,-132.819061279,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88345079,37.5775335805,126.89747214,15.8819770813,1.76127231121,-0.425306558609,-132.804748535,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88354247,37.5775330217,126.897472878,15.8821125031,1.75966799259,-0.437224090099,-132.788070679,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88364427,37.5775324551,126.897473618,15.882393837,1.75645947456,-0.447651922703,-132.768585205,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88373999,37.5775318863,126.897474361,15.8827285767,1.75416755676,-0.457735985518,-132.755813599,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88383870,37.5775313293,126.897475098,15.8827409744,1.74603164196,-0.462949901819,-132.73626709,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88394046,37.5775307649,126.897475837,15.8828964233,1.73583292961,-0.468965947628,-132.725494385,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88403899,37.5775301989,126.897476578,15.8831558228,1.72912931442,-0.471945345402,-132.709747314,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88414995,37.5775296399,126.897477317,15.8839435577,1.71085202694,-0.479451090097,-132.691177368,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88423929,37.5775290784,126.897478055,15.8840484619,1.70947682858,-0.484722286463,-132.67616272,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88433813,37.5775285144,126.897478794,15.8841438293,1.70346081257,-0.483690977097,-132.660415649,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88446563,37.5775279579,126.897479532,15.8847885132,1.70689857006,-0.482602357864,-132.650039673,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88454043,37.5775273992,126.897480269,15.8847360611,1.69939279556,-0.48443582654,-132.634109497,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88463899,37.5775268378,126.897481006,15.8848733902,1.68833470345,-0.484206646681,-132.617721558,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88473773,37.577526284,126.897481737,15.8844137192,1.6910276413,-0.480482399464,-132.606948853,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88483828,37.5775257272,126.897482471,15.8843822479,1.68455326557,-0.474007993937,-132.591995239,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88493778,37.5775251689,126.897483208,15.8842849731,1.69360589981,-0.464554190636,-132.578536987,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88503791,37.5775246173,126.897483938,15.883767128,1.69097030163,-0.458480834961,-132.567367554,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88514043,37.5775240633,126.89748467,15.8836154938,1.6835218668,-0.453897178173,-132.55418396,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88523802,37.577523507,126.897485404,15.8835420609,1.67825067043,-0.444386065006,-132.540267944,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88534869,37.5775229576,126.897486132,15.8829851151,1.67784965038,-0.435161441565,-132.529266357,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88543785,37.5775224059,126.897486863,15.8827810287,1.68002688885,-0.422900140285,-132.518722534,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88554414,37.5775218522,126.897487595,15.8826150894,1.67939662933,-0.409894019365,-132.504623413,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88563942,37.5775213051,126.897488322,15.8820161819,1.68489694595,-0.400726675987,-132.49786377,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88573863,37.5775207559,126.89748905,15.8817777634,1.69309031963,-0.391330182552,-132.491455078,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88583881,37.5775202042,126.89748978,15.8815917969,1.68529808521,-0.38222014904,-132.478897095,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88593761,37.577519658,126.897490512,15.881562233,1.68856394291,-0.369958847761,-132.470596313,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88604319,37.5775191106,126.897491237,15.8812770844,1.69629883766,-0.35317119956,-132.461364746,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88614140,37.5775185617,126.897491965,15.8810958862,1.69750201702,-0.337529450655,-132.454040527,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88624047,37.5775180185,126.897492691,15.8811588287,1.69240272045,-0.323377370834,-132.448760986,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88634085,37.5775174731,126.897493414,15.8808917999,1.68896496296,-0.314725726843,-132.439025879,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88645258,37.5775169263,126.897494139,15.8806257248,1.68690228462,-0.306303232908,-132.430206299,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88653987,37.577516385,126.897494862,15.8806743622,1.67131793499,-0.299427747726,-132.422927856,0,0,0,0,0,0,0,0,0,5,6,0
