version,status,timestamp,latitude,longitude,altitude,heading,latitude_sigma,longitude_sigma,altitude_sigma,heading_sigma,quality,number_of_satellites,HDOP
0,0,1423585,37.529372368,126.517454945,0,129.011184692,0,0,0,0,0,0,0
0,0,1433357,37.5293723675,126.517454944,0,129.011489868,0,0,0,0,0,0,0
0,0,1443435,37.5293723669,126.517454943,0,129.011367798,0,0,0,0,0,0,0
0,0,1453423,37.5293723664,126.517454943,0,129.012527466,0,0,0,0,0,0,0
0,0,1463380,37.5293723658,126.517454942,0,129.010070801,0,0,0,0,0,0,0
0,0,1473707,37.5293723652,126.517454941,0,129.011489868,0,0,0,0,0,0,0
0,0,1483457,37.5293723647,126.51745494,0,129.012741089,0,0,0,0,0,0,0
0,0,1493660,37.5293723642,126.517454939,0,129.014160156,0,0,0,0,0,0,0
0,0,1503415,37.5293723637,126.517454938,0,129.012588501,0,0,0,0,0,0,0
0,0,1513583,37.5293723631,126.517454937,0,129.01335144,0,0,0,0,0,0,0
0,0,1523413,37.5293723625,126.517454937,0,129.011993408,0,0,0,0,0,0,0
0,0,1533427,37.529372362,126.517454936,0,129.011566162,0,0,0,0,0,0,0
0,0,1543384,37.5293723615,126.517454935,0,129.013076782,0,0,0,0,0,0,0
0,0,1553345,37.529372361,126.517454934,0,129.013198853,0,0,0,0,0,0,0
0,0,1563346,37.5293723604,126.517454933,0,129.011901855,0,0,0,0,0,0,0
0,0,1573424,37.5293723599,126.517454933,0,129.011520386,0,0,0,0,0,0,0
0,0,1583858,37.5293723593,126.517454932,0,129.011657715,0,0,0,0,0,0,0
0,0,1593412,37.5293723588,126.517454931,0,129.010940552,0,0,0,0,0,0,0
0,0,1603759,37.5293723583,126.51745493,0,129.009475708,0,0,0,0,0,0,0
0,0,1613339,37.5293723578,126.517454929,0,129.010879517,0,0,0,0,0,0,0
0,0,1623661,37.5293723573,126.517454929,0,129.013305664,0,0,0,0,0,0,0
0,0,1633401,37.5293723568,126.517454928,0,129.013702393,0,0,0,0,0,0,0
0,0,1643586,37.5293723562,126.517454927,0,129.011428833,0,0,0,0,0,0,0
0,0,1653492,37.5293723557,126.517454926,0,129.011306763,0,0,0,0,0,0,0
0,0,1663485,37.5293723552,126.517454925,0,129.011520386,0,0,0,0,0,0,0
0,0,1673425,37.5293723547,126.517454924,0,129.01159668,0,0,0,0,0,0,0
0,0,1683384,37.5293723542,126.517454924,0,129.012374878,0,0,0,0,0,0,0
0,0,1693450,37.5293723536,126.517454923,0,129.013824463,0,0,0,0,0,0,0
0,0,1703393,37.5293723531,126.517454922,0,129.008514404,0,0,0,0,0,0,0
0,0,1713365,37.5293723525,126.517454921,0,129.013839722,0,0,0,0,0,0,0
0,0,1723382,37.529372352,126.51745492,0,129.012756348,0,0,0,0,0,0,0
0,0,1733389,37.5293723515,126.51745492,0,129.010452271,0,0,0,0,0,0,0
0,0,1743368,37.529372351,126.517454919,0,129.010848999,0,0,0,0,0,0,0
0,0,1753739,37.5293723504,126.517454918,0,129.012130737,0,0,0,0,0,0,0
0,0,1763381,37.5293723498,126.517454917,0,129.009414673,0,0,0,0,0,0,0
0,0,1773633,37.5293723493,126.517454916,0,129.011856079,0,0,0,0,0,0,0
0,0,1784249,37.5293723487,126.517454915,0,129.009460449,0,0,0,0,0,0,0
0,0,1793662,37.5293723483,126.517454915,0,129.012069702,0,0,0,0,0,0,0
0,0,1803422,37.5293723478,126.517454914,0,129.013305664,0,0,0,0,0,0,0
0,0,1813446,37.5293723472,126.517454913,0,129.012954712,0,0,0,0,0,0,0
0,0,1823352,37.5293723467,126.517454912,0,129.011367798,0,0,0,0,0,0,0
0,0,1833415,37.5293723461,126.517454911,0,129.011138916,0,0,0,0,0,0,0
0,0,1843434,37.5293723456,126.51745491,0,129.011993408,0,0,0,0,0,0,0
0,0,1853512,37.5293723451,126.51745491,0,129.011001587,0,0,0,0,0,0,0
0,0,1863430,37.5293723446,126.517454909,0,129.009918213,0,0,0,0,0,0,0
0,0,1873442,37.529372344,126.517454908,0,129.014312744,0,0,0,0,0,0,0
0,0,1883795,37.5293723435,126.517454907,0,129.015823364,0,0,0,0,0,0,0
0,0,1893379,37.529372343,126.517454906,0,129.011703491,0,0,0,0,0,0,0
0,0,1903690,37.5293723424,126.517454905,0,129.011672974,0,0,0,0,0,0,0
0,0,1913332,37.5293723419,126.517454905,0,129.013198853,0,0,0,0,0,0,0
0,0,1923590,37.5293723414,126.517454904,0,129.011276245,0,0,0,0,0,0,0
0,0,1933404,37.5293723409,126.517454903,0,129.011871338,0,0,0,0,0,0,0
0,0,1943503,37.5293723403,126.517454902,0,129.010681152,0,0,0,0,0,0,0
0,0,1953356,37.5293723398,126.517454901,0,129.011154175,0,0,0,0,0,0,0
